Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
Lilac Solutions,http://www.lilacsolutions.com/,LiLac is a provider of lithium extraction solutions and services. The solution offered is an ion exchange technology that is used by lithium extractors to extract lithium. The ion exchange beads and brine processing system together extract pure lithium solutions for various industrial needs.,USA,Infr. for e-transport,Circular Economy,2016,Nascent,"22,500,000",Series A,Mobility
Limejump,https://limejump.com/,Limejump provides solutions for virtual power plant aggregation. It provides a variety of commercial options including Fixed and Flexible Power Purchase Agreements for energy assets.,England,Smarter Grid,Whole System Resources,2013,Mature,"20,600,000",Acquired,Accessibility
Linebird,https://linebird.net/,Linebird provides a line measurement system which can be attached with different industrial drones. Uses unmanned aerial systems (UAS) to make contact with live power lines and allows preventive assessment of the health of critical infrastructure. Claims that it helps utilities get actionable data on their critical infrastructure.,USA,Predictive Maintainance,Smart Assets,2019,Nascent,"20,000",Seed,Stability
Linemetrics,https://www.linemetrics.com/en/,"LineMetrics is an online cloud based solution for machine data acquisition (DAQ). LineMetrics allows its users to acquire, visualize and evaluate performance data and key performance indicators of production line machines and factory environment. LineMetrics consists of web based software and hardware sensors and gateways for raw data recording. The central cloud service allows rules based alert configuration, real time data display, as well as metric measurement and documentation. Overall benefits include improved productivity, reduced down time and easy identification of bottlenecks.",Austria,Green Building,Buildings & Heat,2012,Nascent,"400,000",Seed,Accessibility
Lionano,https://www.lionano.com/,"Lionano is an advanced battery material manufacturing company that is developing a drop-in replacement material for existing lithium-ion batteries. The company claims that their patent-pending nano-engineered material improves capacity, battery life, and recharges faster than existing battery material available in the market.",USA,Grid-scale Storage,Whole System Resources,2013,Nascent,"27,000,000",Series B,Stability
Live EO,https://live-eo.com/,"LiveEO provides satellite-based oil pipeline, power grid & railway line monitoring services. Uses AI-enabled predictive algorithms, cloud computing with API connectivity to monitor the pipelines.",Germany,Predictive Maintainance,Smart Operations,2017,Nascent,,Seed,Stability
LO3 Energy,https://lo3energy.com/,"LO3 Energy is building an ""open-source, cryptographically secure"" blockchain to manage transactions across a microgrid in partnership with Consensus systems. Their project called TransActive Grid, matches households who generate electricity with those who need it, executing sales automatically using smart contracts with little-to-no human involvement. Technology is based on Ethereum-blockchain.",USA,Smarter Grid,Enabling Consumers,2015,Nascent,"5,760,000",Series A,Accessibility
Locbit,https://www.locbit.com/,Locbit is an IoT platform to connect devices and gather data.The Locbit platform can automatically adjust the devices on programmed parameters that can result in increased efficiency for users business. Locbit is a PnP IoT Accelerator alumini.,USA,Green Building,Buildings & Heat,2011,Nascent,,Seed,Accessibility
Loop Energy,https://loopenergy.com/,"Loop Energy (fka PowerDisc) is focused on development of powertrain for heavy-duty vehicles using its patented eFlow technology for fuel cell development. The powertrain combines an electric battery with the hydrogen fuel cell. The company was initially founded to develop fuel cells for multiple applications, however it has shifted its focus towards development of powertrains. The company was re-branded as Loop Energy in Feb 2016.",Canada,Battery technology,Transport,2013,Nascent,,Series A,Mobility
Lumenaza,https://www.lumenaza.de/en/,"Lumenaza develops and operates a software-as-a-services (SaaS) platform for buying and selling renewable electricity. The Lumenaza software platform connects and controls providers and consumers of renewable energy and ensures an efficient and streamlined billing. It signed contracts with utilities and new players in the electricity market. It has a partnership with SIV.AG, a leading provider of billing Software which gives access to 300 utilities in Europe.",Germany,Emerging Business Models,Optimising Network Resources,2013,Nascent,"2,890,000",Series A,Accessibility
M-Kopa,https://m-kopa.com/,"M-Kopa provides affordable solar power to over 50,000 Kenyan households and adding 1,000 more every week mainly on a pay-as-you-go basis. The company sell products through more than 750 retail shops nationwide. The company offers M-Kopa I, II and III solar lighting system.",Kenya,Emerging Business Models,Whole System Resources,2011,Mature,"118,000,000",Series D,Accessibility
Makusafe,https://makusafe.com/,"MakeuSafe is developing a wearable solution that monitors the environmental conditions of the employees working in industries like manufacturing, agriculture etc to identify the risks in the workplace. The company has entered into a partnership with EMC Insurance Companies. The device is expected to be released in 2017.",USA,Personnel Protection,Safety,2016,Nascent,"10,000,000",Seed,Stability
Malta,https://www.maltainc.com/,Malta is developing thermal energy storage system for grid applications. The system takes power from fossil fuel plants & renewable sources to drive a thermal energy pump which produces heat & cold energy. When power demand increases the thermal energy and cold energy is converted into electric energy using a heat engine. Claims that the system can hold energy for 6+ hours and offers 20+ years of charging cycles. The company is formed by a partnership of Breakthrough Energy Ventures and Concord New Energy.,USA,Grid-scale Storage,Whole System Resources,2018,Nascent,"26,000,000",Series A,Stability
Measure,https://www.measure.com/,"Measure offers drone management and data analysis platform. It uses third -party multirotor and fixed-wing UAVs. Measure offers its solution via two models, namely turnkey and toolkits. The toolkits offering provides drones, support equipment and software for enterprises to collect and analyze data as per requirement. The turnkey solution allows enterprises to set requirements and receive analyzed data without  needing to operate drones or analysis software.",USA,Predictive Maintainance,Smart Operations,2014,Nascent,"23,267,557",Series B,Stability
Menapy,https://www.menapy.com/en/,Commercial & residential solar installation company,Belgium,Emerging Business Models,Whole System Resources,2017,Nascent,"1,000,000",Seed,Accessibility
Micro Organic Tech,https://www.microrganictech.com/,"MICROrganic Technologies is developing a bio-electrochemical system (BES) that remediates organic waste produced by food manufacturers.  The product sends a current to enlist naturally-occurring bacteria to process organic waste material with no energy consumption. MICROrganic is also developing MFC technology, a product which reduce energy usage while generating electricity and efficiently treating wastewater.",USA,Circular Cities,Circular Economy,2010,Nascent,"380,000",Seed,Accessibility
Mobility House,https://www.mobilityhouse.com/usa_en/,"Mobility House is a energy storage provider for creating grid scale energy storage plants. The company uses used car EV car batteries for providing battery packs, these are furthermore clubbed together to create large energy storage plants to support the grid during peak surges with immediate access to power. Apart from providing energy storage solutions, the company also provides EV charging points which can be purchased online through their ecommerce portal.",Germany,Infr. for e-transport,Transport,2009,Emerging,,Series B,Mobility
Modjul,https://www.modjoul.com/,"Modjul has developed a wearable solution for employee safety applications. The solution consists of a connected belt that can monitor and track multiple movements and work motions, including walking, sitting, falling, driving, tripping, pushing etc.. The data is transmitted to the cloud via WiFi. The data is analysed and presented in the form of charts and graphs which can be through 3 customizable dashboards. The users can access the data collected by the belt using the mobile phone app or web-based application.",USA,Personnel Protection,Safety,2016,Nascent,"4,307,780",Seed,Stability
Moixa,https://www.moixa.com/,"Moixa Technology develops Smart Storage and DC (Direct Current) technologies, and proprietary solutions, that enable more efficient power for Lighting and electronics and renewable and battery storage integration. The company develops Maslow, which is a smart energy storage system for residential or commercial applications. It is designed for compact, wall-mounted installation behind the meter. Currently available in 3 variants; 2 kWh, 3 kWh and 4-6 kWh. They also provide an option for residential storage users to connect their battery to the grid.",England,Green Building,Enabling Consumers,2006,Mature,"26,681,930",Series C,Accessibility
Momentum Dynamics,https://momentumdynamics.com/,"Momentum Dynamics is a start-up clean technology company located in Malvern, PA.  The company is developing a unique and proprietary technology system that will permit electrically powered vehicles to be recharged without the use of a wire. This wireless technology is revolutionary because it can be operated automatically, allowing both passenger-class and commercial fleet vehicles to be charged safely and effortlessly in all weather and without direct supervision.  Operating software developed by Momentum Dynamics allows the system to automatically identify equipped vehicles and regulate the sale of power in a manner similar to Automatic Toll Collection Systems (such as EZ-Pass and FasTrack).  When used with large commercial vehicles where rapid charging is often important, the system can recharge a vehicle using lower voltage systems (240V) much more rapidly than a comparable plug-in charger.",USA,Infr. for e-transport,Transport,2009,Mature,"32,904,110",Series C,Mobility
MPower,https://www.mpower.africa/,"MPower Ventures is a company based in Zurich that offers Plug&Play solar solutions on a residential and commercial scale to off-grid communities. Consists of solar panels, energy storage devices and electric appliances. Created a B2B partnership model and offers mobile payment solutions and lease-to-own financing options.",Switzerland,Emerging Business Models,Enabling Consumers,2017,Nascent,"2,284,650",Seed,Accessibility
Nabrawind,https://www.nabrawind.com/,"Nabrawind Technologies specialises in design and development of wind technologies for wind turbine components, as well as engineering services advisory. The company claims to provide certified technologies and components that do not require wind turbine redesign and validation. They have two primary products, the  Nabrajoint which is a modular blade system and Nabralift, a self erecting wind tower.",Spain,Renewable Generation,Greening Industry,2015,Nascent,"2,070,647",Seed,Sustainability
Nanograf,https://www.nanograf.com/,"NanoGraf provides silicon-based anode materials for lithium batteries. Has developed a patented material architecture which uses silicon-based alloys with flexible 3D graphene networks which claim to stabilize the active material during charge and discharge. Also claims that the materials can achieve an energy density of 1k-2500 mAh per gram whereas the conventional graphene offers 372 mAh per gram. Partners and customers are Ford, General Motors, FCA, and JNC.",USA,Battery technology,Transport,2012,Nascent,"19,000,000",Series A,Mobility
Nanoramic,https://www.nanoramic.com/,"Nanoramic Laboratories specializes in producing 3D nano carbons for ultracapacitors. They produce and join these nano-carbons in different materials and exchange their properties at the macroscale level, tending to the necessities of a few applications. This results in some advanced materials like thermal interface materials, EMI/RFI shielding materials, and composite electrodes. All these materials are used to produce lithium-ion batteries and capacitors by their ultracapacitor division, FastCAP Ultracapacitors.",USA,Grid-scale Storage,Whole System Resources,2010,Emerging,"25,147,531",Series B,Stability
Nanotech Energy,https://nanotechenergy.com/,"Nanotech Energy manufactures and supplies graphene and conductive inks. It also provides graphene oxide (paste/powder/solution). The conductive ink has a surface area of (1600 m2/g) and electrical conductivity of (7700 S/m). The products have application in smart fabrics, sensors, EMI shielding, heaters, water separations, and supercapacitors. It has its patented technology to develop graphene. As of March 2018, it is developing graphene superbattery with high electrical conductivity, graphene supercapacitors, and lithium-ion batteries. The company has been featured in multiple tech magazines, blogs, and PRs including Digital Trends, IEEE Spectrum, USA Today, PHYS. ORG, Slate, and The Verge.",USA,Battery technology,Smart Assets,2014,Emerging,"31,609,732",Series C,Mobility
Nant Energy,https://nantenergy.com/,"NantEnergy manufactures zinc-air rechargeable energy storage systems for telecommunication, data centers, offices, and industrial applications. Zinc oxide is converted into zinc & oxygen using the electricity generated from solar energy. The process of energy storage involves a cycle of electricity generation to zinc storage, via an electrochemical reaction, and then, to electrons leading to the transmission of electricity. The cell and system architecture is scalable from kWh to MWh to GWh of capacity and can repeat the cycle of charge & discharge over 1,000 times of repeated cycles. Has features like remote monitoring, up to 72 hours of grid autonomy, 20 years of system life, anti-theft solution and has surpassed cost breakthrough of $100 kWh.",USA,Grid-scale Storage,Whole System Resources,2006,Emerging,"34,581,406",Series B,Stability
Natel Energy,https://www.natelenergy.com/,"Natel has developed a new turbine technology that helps scale up distributed, baseload hydropower. Their proprietary HydroEngine is a special turbine designed for high flows at low heads generating electricity at or less than US$0.05 at projects as small as 1 MW. The hydroEngine has two basic configurations, a fully flooded model rated 200-500 kW per unit that works with a draft tube and accommodates sites with more tailwater variation and a free jet model rated 25-1,400 kW per unit that does not need a draft tube. Additionally, the company also claims that they connect their projects with watershedOS, a platform to design and monitor their installed projects.",USA,Renewable Generation,Whole System Resources,2005,Mature,"53,587,175",Series C,Sustainability
Natron Energy,https://natron.energy/,"Natron Energy is developing a new battery technology for stationary applications including renewables support, smart grids/microgrids, and UPS. Alveo's batteries survive tens of thousands of deep discharge cycles, can be fully charged or discharged in just a few minutes, and cost significantly less than incumbent lead acid batteries.",USA,Battery technology,Circular Economy,2012,Emerging,"70,000,000",Series D,Mobility
Nautilus,https://www.nautilusfs.com/en/,"Nautilus Floating Solutions is a company based in Spain that designs, manufactures, installs, operates and maintains offshore floating platforms for the wind energy sector. Filed for the European patent application and undergoing a Critical Design Review performed by Ramboll. Claims to install its first prototype in the Canary Islands in 2021.",Spain,Renewable Generation,Whole System Resources,2013,Nascent,"1,000,000",Seed,Sustainability
Nawa Technologies,http://www.nawatechnologies.com/en/home-english/,"NAWA Technologies is a spin-off of the French Alternative Energies and Atomic Energy Commission. The company manufactures NAWACAP, which is a new generation of ultra-rapid carbon batteries based on the principle of supercapacitors that is distinguished by its electrode materials based on aligned, functionalized carbon nanostructures. The product has higher energy density and can store 100 times more energy than lithium or lead batteries during the entire life of our batteries.",France,Battery technology,Whole System Resources,2013,Nascent,"27,608,600",Series B,Mobility
Neurala,https://www.neurala.com/solutions/drones,"Neurala uses “deep learning algorithms” to make robots learn more like humans do, with the goal of creating software that enables people to tell a robot what to do, and not how to do it. The result is autonomous robotic behavior that eliminates the need to drive the robot by remote control. Potential applications include collision avoidance systems for drones on Earth and autonomous navigation systems for robots on Mars. Has contracts from NASA and the US Air Force to develop smart learning systems. Part of the TechStars Boston startup accelerator for the Spring 2013 class. Tim Draper of DFJ participated in the seed round.",USA,Predictive Maintainance,Smart Operations,2006,Emerging,"21,122,484",Series B,Stability
Newgrid,http://newgridinc.com/,"NewGrid, founded in DOE ARPA-E Green Energy Network Integration program, develops software to help electric transmission operators re-route electricity on the grid in times of system congestion allowing for uninterrupted transmission of renewable power. It applies high-speed computation techniques to tap a latent grid-balancing resource for transmission grid operators to avoid congestion in some areas or disuse in others, a task known as “topology control.” In May 2016, it joined Greentown Labs, a cleantech startup incubator.",USA,Smarter Grid,Optimising Network Resources,2015,Nascent,"125,000",Seed,Accessibility
Newmotion,https://newmotion.com/en,"NewMotion is the operator of an EV charging network. It operates a network of EV chargers, and its app enables users to locate and navigate to the chargers, manage charging sessions and view price estimates. It offers charging solutions for homes, businesses, car manufacturers, sales and leasing partners. Its app is available across both Android and iOS platforms. It caters to multiple European countries. Its clients include Shell, Ford and IKEA.",Netherlands,Infr. for e-transport,Transport,2009,Mature,"18,000,000",Acquired,Mobility
Nex Wafe,https://www.nexwafe.com/,NexWafe produces and supplies wafers to solar cell producers. The company manufactures these wafers using Kerfless Wafering Technique by which there is less wastage of raw materials and the cost of production is low than regular.,Germany,Renewable Generation,Whole System Resources,2015,Nascent,"23,700,000",Series A,Sustainability
Nexeon,https://www.nexeon.co.uk/,"Nexeon is a battery materials and licensing company with a silicon anode technology. They company claims that they have patented a unique way of structuring silicon so that it delivers extended cycle life and increases battery capacity. Their first commercially available material is a low cost silicon capable of capacities up to 1000mAh/g. They company also claims that the graphite currently used in the lithium-ion battery manufacturing process can simply be replaced with Nexeon materials and used in combination with conventional polymer binders and current collectors, thus allowing for easy adoption in existing Li-ion battery production lines.",England,Battery technology,Circular Economy,2006,Mature,"175,417,300",Series C,Mobility
Next Kraftwerke,https://www.next-kraftwerke.com/,"Next Kraftwerke is an operator of a large-scale Virtual Power Plant (VPP) and a certified power trader on different European exchange markets - EPEX and EEX. Their VPP software bundles about 2700 medium- and small-scale power producing and power consuming units including biogas, wind, and solar. Currently operating in Germany, France, Belgium and Austria.",Germany,Grid-scale Storage,Whole System Resources,2009,Emerging,,Series A,Stability
NextEnergy,https://www.nextenergytech.com/,Next Energy uses soluble small molecule organic photovoltaic (SSM-OPV) technology developed by the company to make organic semiconducting inks. The ink is printed/coated to make transparent solar cells that are lightweight and flexible. The product is used as transparent energy harvesting coatings for windows and glass panes. ,USA,Green Building,Buildings & Heat,2011,Emerging,"4,880,000",Series A,Stability
Nikola Power,https://nikolapower.com/,"Nikola Power owns and operates Energy Storage System (ESS) assets on the grid providing ancillary services in open markets. Their primary focus is on frequency regulation, however, they have the capability to participate in other high value markets such as voltage regulation, capacity firming, demand response, distributed energy system deployment and utility system upgrade deferral.",USA,Smarter Grid,Whole System Resources,2014,Nascent,"350,000",Seed,Accessibility
NLAcoustics,https://nlacoustics.com/,"Noiseless Acoustics is a provider of acoustics based predictive maintenance solutions for applications in the oil & gas and construction industry. The company has developed an acoustic camera that can detect, identify, and pinpoint failing components from several meters away (up to 60 meters), and show it to the operator on an HD video screen. In addition, it offers acoustics based IoT -solution with nonintrusive acoustic sensors to predict problems in the existing assets of the company. The company claims that the solution is self-learning as it stores measurement data in the cloud and uses it to further improve fault detection and problem identification.",Finland,Predictive Maintainance,Smart Operations,2015,Nascent,,Seed,Stability
Node Energy,https://www.node.energy/,"node.energy builds SaaS solutions for the regulatory and commercial management of decentralized energy supply systems for commercial and industrial real estate. Our software massively reduces administrative workload, helps to save energy costs and ensure that our customers are always up to date and compliant to the current regulation.",Germany,Asset & data management,Optimising Network Resources,2017,Nascent,"911,800",Seed,Stability
Nodis,https://www.nodiscorp.com/,"Nodis manufactures smart glass for commercial and personal buildings. Through its smart glass users can change the tint, color, and temperature of windows. It integrates with building and home automation systems. It can be controlled from anywhere using smart phones or automatically from building management systems and home automation systems.",Singapore,Green Building,Buildings & Heat,2014,Nascent,"500,000",Seed,Accessibility
Nohms,https://www.nohms.com/,"NOHMs Technologies develops electrolytes for the battery industry. Its primary focus is in developing electrolytes for Lithium Ion and Lithium Sulfur batteries. Using the power of ionic liquids, NanoLyte high voltage electrolytes for lithium ion batteries will reduce the current cost of lithium ion batteries up to 50% and improve its longevity.",USA,Battery technology,Whole System Resources,2010,Emerging,"6,885,000",Series B,Mobility
Normative,https://normative.io/,"Normative offers platform to measure social & environmental impact of a business. Assess sustainability in real-time based on data the organisation already collects as a part of their regular bookkeeping, such as financial transactions and invoices. Helps clients to adhere to internationally recognized standards such as the GRI, CDP and GHG Protocol. Reduces social and environmental risks by finding hotspots in your supply-chain. Generates life-cycle assessments of the facilities, products, services and the organization.",Sweden,Asset & data management,Carbon Management,2014,Nascent,"2,100,000",Seed,Stability
Northvolt,https://northvolt.com/,"Northvolt is a battery developer, currently focusing on researching new production technologies to deliver low-cost lithium-ion batteries to be used in electric & off-highway vehicles. It provides custom cells optimized for a particular application, battery system & more.",Sweden,Battery technology,Whole System Resources,2015,Emerging,"1,642,489,010",Series C,Mobility
Nostromo,https://nostromo.energy/,"Nostromo has designed and developed a new integrated thermal energy storage system called ""ICE BREAK"" which is claimed to be 50% more cost-effective than the traditional ones. This system uses the surplus power generated during the excess periods to store the cold thermal energy in the form of ice. The stored cold thermal energy which is the form of ice will then be used during peak hours by cooling. The company claims to deploy this system for testing by the end of 2017 and if successful, it will be deployed in 2019 for commercial use.",Israel,Grid-scale Storage,Whole System Resources,2016,Nascent,"20,000,000",Series A,Stability
Novogrid,http://www.novogrid.com/,"Novogrid has developed a software solution to improve renewable energy throughput in-to the grid. Their control platform dynamically modifies the generator’s electrical output in synergy with the frequency modulation of the grid which enables the generator to export more electricity and increase bottomline, while adhering to all grid limits and constraints. As claimed by them the solution can be deployed in a fully de-centralised mode or as part of a centralised control centre framework.",Ireland,Smarter Grid,Optimising Network Resources,2014,Nascent,"500,000",Seed,Accessibility
Nozomi Networks,https://www.nozominetworks.com/,"Nozomi Network provides unintrusive network monitoring and protection solution developed for Industrial Control Systems. Has an integrated discovery and learning capability for Industrial Control Systems which automatically detects critical anomalies. Additionally, underlying industrial processes are constantly monitored at the deepest level through its industrial virtual imaging technology.",USA,Cybersecurity,Safety,2013,Emerging,"54,000,000",Series C,Stability
NuScale,https://www.nuscalepower.com/,"Nu  Scale Power develops modular and scalable Light Water Reactor, Nuclear Power Plants using fission technology. Their design implements passive safety systems that use natural circulation for emergency feed water cooling, decay heat removal, and containment cooling. This eliminates the need for primary pipes and pumps.",USA,Adjacent Networks,Whole System Resources,2007,Mature,"78,150,000",Series C,Accessibility
Offgrid Box,https://www.offgridbox.com/,"Off Grid Box is a offgrid power solution developer using their all in one, self contained unit through solar PVT backed energy storage solution. The combined product includes a solar PV for electricity, solar Thermal for heating water and high-efficiency pump with mechanical and UV (Ultra-Violet) filters for sterilizing and treating the water to be used at home. There are options to include other useful feature such as production of hydrogen as a gas for cooking.",USA,Renewable Generation,Greening Industry,2013,Nascent,"2,315,000",Seed,Sustainability
Ohm Connect,https://www.ohmconnect.com/about-us/news/resi-station,Ohm connect connects customers and utilities to participate in demand management. They install smart thermostats and other sensors in homes to participate. During an Ohmhour( Peak demand time) they inform the customers to reduce the consumption and if the customer participated they pass the savings to them.,USA,Grid-scale Storage,Whole System Resources,2013,Emerging,"28,500,000",Series C,Stability
Omega Grid,https://www.omegagrid.com/,"Omega Grid offers peer-to-peer energy platform for utilities where distributed energy resources can sell their excess generation on the distribution grid by creating grid balancing, clearing and settlement algorithms on utility-owned mesh networks. DER's selling and buying is limited to distribution networks and the company enables small producers to sell their electricity.",USA,Smarter Grid,Optimising Network Resources,2017,Nascent,,Seed,Accessibility
Omniflow,https://www.omniflow.io/,"Ominflow offers multiple services powered by wind and solar for public spaces, Smart Lamppost, Smart Bench, Solar Smart Lighting, IoT Software, , Smart Pole, Smart City, Sustainability, CO2 reduction, decarbonization, Sustainable services",Portugal,Circular Cities,Whole System Resources,2011,Nascent,"4,000,000",Seed,Accessibility
Opinum,https://www.opinum.com/,"Opinum offers a cloud-based platform to analyze and visualize energy and environmental data. The platform is integrated with IoT and big data analytics to centralize and aggregate data from different consumption sources like electricity, gas and water in buildings. Features include centralized energy accounting, utility split billing, remote control of assets and customer engagement platform. The company's clientele includes EOLY, Total, EDF Luminus, and AG Real Estate among others.",Belgium,Asset & data management,Smart Operations,2014,Nascent,"3,575,310",Series A,Stability
Orbital Sidekick,https://orbitalsidekick.com/,"Orbital Sidekick provides space-based hyperspectral imaging and analysis solutions. Offers a constellation of satellites that captures hyperspectral data over customer assets on a daily basis for enabling unparalleled rapid target monitoring services for both commercial and defense users on a global scale. It analyzes the chemical fingerprint of each target and provides multiple services to the energy sector including regulatory compliance, leak prevention, detection, and speciation monitoring services. The services are provided through its proprietary hyperspectral intelligence technology and multispectral imaging technologies that capture spectral bands from visible light.. It caters to multiple industries including oil and gas, energy, mining, environmental monitoring, infrastructure, agriculture, and defence.",USA,Predictive Maintainance,Safety,2016,Nascent,"20,800,000",Series A,Stability
Orcan Energy,https://www.orcan-energy.com/en/,"Orcan Energy has developed a waste heat recovery technology, based upon the Organic Rankine Cycle (ORC) which offers diverse applications for waste heat recovery. The ePack enables the user to generate in-house CO2-free electricity which is claimed to be more affordable than traditional energy from a large power station.",Germany,Industry Heat Capture,Buildings & Heat,2008,Mature,,Series C,Sustainability
Origami Energy,https://www.origamienergy.com/,"Origami develops and provides a software-as-a-service (SaaS) marketplace platform which manages the flow of energy and capacity between physical sites with power generation, energy demand and electricity storage allowing renewable energy generators, storage providers and energy users to trade with each other at a micro-grid level and maximize the value of their assets.",England,Emerging Business Models,Optimising Network Resources,2013,Nascent,"52,090,200",Series B,Accessibility
Origin Materials,https://www.originmaterials.com/about,"Origin Materials (fka Micromidas) focuses on the development of technology to produce PET bottles from waste materials such as cardboard and sawdust.The company has patented its technology to produces bio-based intermediates from lingo-cellulosic raw materials. The intermediates can be used to make new polymers, surfactants, and carbon black.",USA,Circular Cities,Carbon Management,2008,Emerging,"85,000,000",Series B,Accessibility
Orison,https://orison.com/utilities/,Orison empowers electric utilities and energy retailers with flexible fleet control tools to improve grid resilience and manage peak loads at the lowest known entry cost in the market.,USA,Emerging Business Models,Optimising Network Resources,2013,Nascent,,Seed,Accessibility
Ossia,http://ossiainc.com/,"Ossia provides a flagship product known as Cota, a wireless charging solution. It can charge devices as far away as 30 feet without a line of site, in homes and offices. Its patented antenna technology automatically keeps multiple devices charged without any user intervention. This is achieved by using targeted RF waves to a specific location (mobile device or any compatible consumer electronic) for charging the unit. Offers a cloud-based software known as Cota Cloud that helps to manage connected devices. l",USA,Infr. for e-transport,Enabling Consumers,2008,Mature,"54,600,000",Series C,Mobility
Ovoenergy,https://www.ovoenergy.com/,"Ovo Energy supplies power to residential homes and commercial centers from renewable energy sources. Customers can create needs to login to the website and select the kind of services required. Supplies electric power, biogas, and charging bundles for electric vehicles. Provides a vehicle module through which power stored in vehicles can be supplied to grid networks and can be controlled through the mobile application. Also provides heaters, energy storage systems, and smart electric meters. Customers can request a quote and pay the bill online.",England,Emerging Business Models,Enabling Consumers,2009,Mature,"257,692,000",Series C,Accessibility
Oxford PV,https://www.oxfordpv.com/,"Oxford PV is a spin-out from the Physics department of Oxford University  that is developing and commercializing thin-film perovskite solar cells, which can be printed directly onto silicon solar cells, CIGS solar cells or glass. Printing perovskites directly onto glass is being claimed to have led to a semi-transparent coating that is ideal for BIPV applications and, once integrated into the glazing units of a building, the technology is capable of providing a significant percentage of the building's electrical energy requirements directly from sunlight.",England,Renewable Generation,Whole System Resources,2010,Mature,"184,000,000",Series D,Sustainability
Oxto Energy,https://oxtoenergy.com/,Oxto Energy is a technology development company that has developed a flywheel based patented energy storage system that is claimed to provide a very high round-trip efficiency.  The product has a modular structure and designed to operate between a 10kW and 250kW power output. The product has a lifetime of 25 years and is based in a self contained unit. The company claims that its product can react within 4 milliseconds and maintenance is substantially lower than batteries at roughly 0.0058p/kWh,England,Grid-scale Storage,Whole System Resources,2016,Nascent,"17,647",Seed,Stability
Oxymem,https://www.oxymem.com/,"OxyMems technology uses hollow fibre, gas permeable membranes to deliver oxygen directly to micro-organisms in water, which break down the pollutants and consume less energy and also lowers costs. OxyMem Membrane-Aerated Biofilm Reactor (MABR) is deployed as a modular cage design which can be supplied as a packaged plant or retrofitted directly into an existing aeration tank. MABR habitat creates an ideal environment to support a robust biofilm which absorbs and consumes carbon and nitrogen based pollutants. OxyMem is capable of achieving up to 99% oxygen transfer efficiency, as no oxygen is lost to atmosphere. It received Innovation of the Year award - 2014 and named in Global Cleantech 100.",Ireland,Circular Cities,Greening Industry,2013,Mature,"2,860,000",Acquired,Accessibility
Passive Logic,https://www.passive-logic.com/,"PassiveLogic provides a platform to automate the lifecycle of a smart building. Products include Hive controller, Cell Modules and Swarm Sensors that use artificial intelligence, IoT and digital twin technology to provide control of the building. Claims to help in the energy efficiency and operational costs of the building. The target audience includes owners, architects, engineers, builders, HVACs, installers, ESCOs, and utilities.",USA,Green Building,Buildings & Heat,2014,Nascent,"16,000,000",Series A,Accessibility
PEGAfrica,https://pegafrica.com/,"PEGA Africa is a solar products and solutions developer for improving access to power in rural regions of Africa. The company aims to reduce dependency on harmful fuels for home lighting such as kerosene, through its pay-as-you-go model of accessing solar home systems on credit to households in West Africa. They are currently operating in Ghana and CÃ´te d'Ivoire and has tied up with M-Kopa solar to deliver its systems.",Ghana,Emerging Business Models,Smart Assets,2013,Emerging,"26,000,000",Series C,Accessibility
Percepto,https://percepto.co/,"Percepto provides autonomous drones that help in surveillance and digitization of assets and security at industrial sites. It provides solutions for security, inspection, and operational challenges and has provided solutions for power plants, industrial sites, mines, ports, defense sites, and critical infrastructure. It has a waterproof drone, Sparrow drone with thermal cameras, a base station for recharging and sheltering the drone and PerceptoCore software suite for flight management, data storage, report management which makes data available in critical situations also.",Israel,Predictive Maintainance,Smart Operations,2014,Nascent,"72,500,000",Series B,Stability
PFED USA,https://www.pfedusa.com/,"Planet Found Energy Development is a US-based company focused on developing on-the-farm biogas facility to process poultry litter. The generated biogas would then be used to generate electricity and heat which may be used on the farm. The by-products rich in nitrogen, phosphorus and potassium may be used as fertilizers at the farm.",USA,Renewable Generation,Circular Economy,2011,Nascent,"1,035,012",Seed,Sustainability
Phinergy,http://www.phinergy.com/,Phinergy focuses on the development of metal-air battery systems and technology for electric vehicles. The company's main focus is on the development of aluminum-air and zinc-air batteries. The company claims to have successfully integrated aluminum-air battery system into an electric vehicle resulting in more than three times the driving range of current EVs.,Israel,Battery technology,Whole System Resources,2008,Emerging,"50,000,000",Series B,Mobility
Pick Protection,https://www.pickprotection.com/,"Personal Guardian is a wearable device developed by Pick Protection. The device can be attached to the belt, clothes or carried inside the pocket and connects to the user's phone via Bluetooth. The user can activate the device by pressing buttons on both the sides simultaneously. Once activated the device connects to the alarm receiving center which listens to the situation and determines if it is a real emergency or not. The device also sends user's location to the assigned emergency contact number. The device once activated records the surrounding sounds for evidence purpose.",England,Personnel Protection,Safety,2014,Nascent,"1,080,000",Seed,Stability
Pika Energy,https://www.pika-energy.com/,"Pika Energy manufactures direct current power electronics which includes sub-arrays optimizer, inverters, and solar panels and are commercialized under the brand name 'PikaEnergy Islands'. The company also offers high performance wind turbines and hybrid wind-solar systems for home owners and small businesses.",USA,Smarter Grid,Whole System Resources,2010,Mature,"9,600,000",Acquired,Accessibility
