Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
Kensho,https://www.kensho.com/,3,Manage Risk,9,Data & Risk Analytics,"Kensho is empowering financial institutions with technology that brings transparency to markets. Kensho is pioneering real-time statistical computing systems and scalable analytics architectures-the next generation of improvements to the global financial system. Kensho harnesses massively-parallel statistical computing, user-friendly visual interfaces and breakthroughs in unstructured data engineering and predictive analytics to create the next-generation analytics platform for investment professionals.",USA,2010,Acquired,2017,123000000,50000000,0.99,1,0.995,Mature,2. SECONDARY,N,,
Mission Lane,https://www.missionlane.com/,5,Engage Consumers,15,Banking & Personal Finance,"At Mission Lane, it's our goal to provide access to responsible credit on transparent terms and to create paths to better financial health. Building world-class credit cards is how we're getting there. Mission Lane is a new company dedicated to helping everyone have access to fair and clear credit. We believe in creating a relationship where everybody wins. Our customers do well when they succeed with our credit cards. We do well when they prosper. It's that simple. Weâ€™re here to provide the best-in-class service our customers deserve. Join us, because where weâ€™re going, weâ€™re going together.","San Francisco, California, United States",2018,Series A,2019,200000000,200000000,0.33,0.33,0.33,Nascent,6. OTHER,N,,
Dividend Finance,http://www.dividendfinance.com,5,Engage Consumers,15,Banking & Personal Finance,"Dividend is a leading national provider of renewable energy and energy-efficiency financing solutions offered through a comprehensive suite of residential solar loan, home improvement and PACE financing products catered towards homeowners and commercial/industrial real property owners. The Company pioneered the residential solar financing landscape in 2014 with the launch of its EmpowerLoanâ„¢ product for financing residential solar installations, and continues to expand its product offerings into the home-energy space â€“ including PACE financing. In addition to its industry-leading suite of financial products, Dividend operates a best-in-class origination and technology platform for partner contractors and property-owners that streamlines the process for financing and managing financed-project fulfillment.","San Francisco, California, United States",2013,Acquired,2017,202500000,100000000,0.66,1,0.83,Mature,6. OTHER,N,,
Raisin,https://www.raisin.com/,5,Engage Consumers,15,Banking & Personal Finance,"Raisin is a savings and investment marketplace that connects retail customers with banks looking to expand deposit reach. The company's goal is to provide savers the best interest rates. The company gives access to exclusive savings products from all over Europe. Raisin assures a smooth investment process and the simple management of investments with all of the partner banks via one single platform. Raisin was founded on 2012 and is headquartered in Berlin, Germany.","Berlin, Berlin, Germany",2012,Series D,2019,206007634,28000000,0.66,0.66,0.66,Emerging,6. OTHER,Y,,
Pindrop,http://pindrop.com,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Pindrop Security aims to prevent and protect against phone-based fraud. The startup has developed a caller-ID product that helps detect, report and mitigate phone fraud by identifying key attributes of any phone call including the device used (based on audio analysis), ID, call path and geographic point of origin. Pindrop Security and AGNITiO, the leader in secure voice biometrics, announced a partnership to protect call centers as they adapt to an increasingly mobile customer base, in May 2014. By combining AGNITiO Voice iD and Pindrop Phoneprinting technologies, the companies now offer a complete end-to-end solution that meets the ease of use and privacy needs of customers and security demands of enterprises. Pindrop was founded at Georgia Tech and spun out of VentureLab.","Atlanta, Georgia, United States",2011,Series D,2018,212799996,90000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Keyrock,https://keyrock.eu/,3,Manage Risk,9,Data & Risk Analytics,"Keyrock is a cryptocurrency trading platform. The platform combines algorithmic trading bots, trading infrastructure, and liquidity pool. The platform sets a liquidity pool for the user's tokens. The algorithmic trading bots help to manage and enhance the liquidity of the token.",Belgium,2017,Seed,2018,1100000,1100000,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
Kira Systems,https://kirasystems.com/,4,Automate workflows,13,Document Streamlining,"Kira Systems is a machine learning software that identifies, extracts, and analyzes text in contracts and other documents. Kira Systems is a provider of contract review and analysis software, helping the world's largest corporations and professional service firms uncover relevant information from unstructured contracts and related documents.",Canada,2011,Series A,2018,49335676,49335676,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Darktrace,https://www.darktrace.com,3,Manage Risk,7,Fraud & Cybersecurity,"Darktrace is an AI-based security analytics solutions provider. The product offered by the company is a cyber intelligence platform. The features of the product include insider threat detection, monitoring of network, host, and mobile device activity across the enterprise, vulnerability assessment, threat visualization, etc. The clients of the company include ebay, SAMSUNG, PRUDENTIAL, Bancolombia, Rabobank, etc.","Cambridge, Cambridgeshire, United Kingdom",2013,Late Stage Venture,2018,230500000,50000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Knox Custody,https://www.knoxcustody.com/,3,Manage Risk,10,Crypto-Custody & Encryption,"Knox offers custodian services for cryptocurrencies. It allows users to store digital assets at storage units and warehouses. It provides insurance policies for protection against theft, key loss, and collusions.",Canada,2019,Seed,2019,8250000,8250000,0.33,0,0.165,Nascent,3. POST TRADE,N,,
Komainu,https://www.komainu.com/,3,Manage Risk,10,Crypto-Custody & Encryption,Komainu is the first regulated digital asset custody solution built by institutions for institutions.,England,2018,Corporate Round,2020,-,-,0.33,0.66,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
KYC3,https://kyc3.com,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"KYC3 is the smart solution for compliance, counterparty risk management and competitive intelligence. KYC3 was founded in 2013 with the mission to deliver data mining and analysis solutions for risk management using big data. Through their own projects, a couple of seasoned big data experts and due diligence professionals saw a need and filled it for themselves. When they kept coming back to the system the commercial potential was clear and they decided to share it with the world.",Luxembourg,2013,Seed,2016,-,-,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Greenlight,https://www.greenlightcard.com/,5,Engage Consumers,15,Banking & Personal Finance,"Greenlight Financial Technology is a financial services company that specializes in the fields of debit cards for kids and mobile apps. It empowers parents with convenient controls to safely manage family finances and create teachable moments around earning, spending, saving, and giving. Using its patent-pending technology, they can even specify the exact stores in their town or neighborhood where each child's Greenlight Card is accepted.  The company was founded in 2014 and headquartered in Atlanta, Georgia.","Atlanta, Georgia, United States",2014,Series C,2020,296500000,215000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Remitly,http://www.remitly.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Remitly is a mobile payment service that enables consumers to conveniently make person-to-person international money transfers from the United States. Its online service is disrupting the $588 billion a year industry by using the latest technology and mobile devices to eliminate unnecessary forms, codes, agents, extra time and fees tied to the traditional money transfer process.  As a licensed money transmitter, Remitly currently operates in 49 states and Washington, D.C., and spends millions of dollars to thousands of customers each month. Remitly is backed by Stripes Group, DFJ, Vulcan Capital, QED, Trilogy Equity Partners, DN Capital, Founders Co-Op, Bezos Expeditions, and TomorrowVentures.","Seattle, Washington, United States",2011,Series F,2020,420000000,85000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Ledgy,https://ledgy.com/,4,Automate workflows,13,Document Streamlining,"Ledgy provides equity management software for startups and businesses. It features solutions for cap table management, employee participation plan, round & exit modeling, collaboration & due diligence, and investors relation & portfolio management. It is available on a monthly subscription basis.",Switzerland,2017,Seed,2017,1130000,1130000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Lendable,https://www.lendable.co.uk/,5,Engage Consumers,15,Banking & Personal Finance,"Lendable is an online lending platform.  Borrowers request a quote from the platform and if they accept the quote, the amount is deposited in their bank account within 2 hours (as they claim). Only institutional and sophisticated investors can invest on the platform.",England,2013,Series A,2019,10400000,10400000,0.66,0.33,0.495,Nascent,6. OTHER,Y,,
LendInvest,http://www.lendinvest.com,2,Access Liquidity,3,"Alt debt, loans & SME financing","LendInvest operates an online marketplace for property lending and investing. Its online marketplace platform lets everyday investors access various types of asset classes; and underwrites and pre-funds various investments. LendInvest also offers short-term property finance, such as bridge loans, development loans, and buy-to-let loans.They work with both institutions and individuals.",England,2008,Series C,2019,113722705,15000000,0.99,0.66,0.825,Mature,1. PRIMARY,Y,,
LightPoint,http://lightpointft.com/,3,Manage Risk,9,Data & Risk Analytics,Lightpoint is a SaaS based trading workflow management solution,USA,2017,Series A,2018,3000000,3000000,0.33,0.33,0.33,Nascent,5. E-2-E INTEGRATION,N,,
Limina,https://limina.com/,3,Manage Risk,9,Data & Risk Analytics,"Limina's flagship product, Captron, is a portfolio, risk and order management system for mutual funds, hedge funds and service providers. Its functionality includes sensitivity measures such as interest rate buckets, volatility surface shifts and greeks; order management; reporting and risk analysis; pre-trade and post-trade reconciliation; and portfolio management. It also provides Captron LITE, a lite version of Captron for accessing portfolios on the web or on desktop and mobile apps.",Sweden,2014,Seed,2020,2600000,1410000,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
Liquefy,https://www.liquefy.com,2,Access Liquidity,5,Tokenization and Digital Assets,"Liquefy is a technology solution that enables innovative business models through blockchain technology and digitization. Liquefy Platform, the first product of Liquefy, enables digitization of assets such as private companies, public shares, funds, real estates and any other assets using blockchain technology. Security Tokens will enable issuers to raise capital faster, easier and cheaper while unlocking liquidity for investors. Liquefy Platform utilizes our core proprietary technologies, which allows asset owners and institutions to tokenize any assets, providing compliance services and manage fractional ownership.","Hong Kong, Hong Kong Island, Hong Kong",2018,Seed,2019,3030000,2600000,0.33,0,0.165,Nascent,1. PRIMARY,N,,
LiquidX,liquidx.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","LiquidX is an electronic marketplace for the exchange of Trade Finance assets. Through its technology platform and capital, the auction-based marketplace of LiquidX provides good price execution for Trade Finance assets.",USA,2016,Corporate Round,2020,21490000,1500000,0.33,0.66,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
LMrkts,https://www.lmrkts.com/,3,Manage Risk,8,Optimization & Collateral Mgmt,"LMRKTS offers a more modern version of portfolio compression – a means for Sellside, Buyside, CCPs and end-users to optimize their counterparty risk in any market or payment system with fungible assets and liabilities. It provides a means to lower Systemic Risk as well as funding and capital requirements for participants. LMRKTS acts as a necessary and integrated supplement to Central Clearing by providing an actionable alternative for grandfathered legacy exposures amongst bilateral parties, exposures resulting from products not sufficiently standardized for clearing, or those entered into with exempt counterparties. It also provides a utility for optimizing and rebalancing cleared exposures amongst a plurality of CCPs.",USA,2013,Series A,2017,7700000,7000000,0.66,0.33,0.495,Nascent,3. POST TRADE,N,,
Loanboox,loanboox.com,2,Access Liquidity,3,"Alt debt, loans & SME financing","Loanboox is a capital market platform for cantons, towns and cities, municipalities and institutional investors. A borrower can apply for a loan by submitting the required documents on the platform. The minimum financing volume in the financing request is CHF 0.5 million. Investors can register on the platform and invest in loans & bonds.",Switzerland,2015,Series B,2019,28820000,22820000,0.66,0.33,0.495,Nascent,1. PRIMARY,Y,,
LogicGate,https://www.logicgate.com,3,Manage Risk,8,Optimization & Collateral Mgmt,"LogicGate builds technology that allows businesses to automate and track disorganized processes in risk and compliance. It helps organizations reduce mission-critical risks and damaging compliance violations with the first 'agile GRC' platform. Its platform helps businesses conquer the obstacles presented by change, allowing technology to adapt to them. It removes the barriers that traditional GRC software places between people, processes, and data â€“enabling everyone to have the right information at their fingertips. LogicGate provides the transparency needed to collaborate, audit, and streamline work across all levels of an organization. It was founded in 2015 and is headquartered in Chicago, Illinois.",USA,2015,Series B,2019,34250000,24750000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Lucena Research,https://lucenaresearch.com/,3,Manage Risk,9,Data & Risk Analytics,Lucena Research is a leader in decision support technology for investment professionals including hedge funds and wealth advisors. Lucena delivers quantitative analysis and Statistical Machine Learning solutions that enable their customers to exploit market opportunities and to reduce risk in their portfolios.,USA,2011,Series A,2016,3030000,1000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
SoFi,http://www.sofi.com,5,Engage Consumers,15,Banking & Personal Finance,"SoFi is a finance company that offers a range of lending and wealth management services. The company primarily caters to early-stage professionals and offers variable and fixed rate parent, personal, and MBA loans, mortgage refinancing, and more. They create modern financial products and services that help people borrow, save, spend, invest, and protect their money better so that they can achieve financial independence and realize their ambitions from owning a home to saving for retirement, paying off their student loans, and more. It was founded in 2016 and headquartered in San Francisco, California.","San Francisco, California, United States",2011,Series F,2019,2374226991,,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Lukka,lukka.tech,4,Automate workflows,12,IT & Data Cost Managament,"Lukka is a software company that delivers middle and back office solutions for the crypto asset ecosystem. Lukka provides a system of record that automates and optimizes accounting, audit, and tax processes for funds, fund administrators, exchanges, trading operations, and enterprises. These solutions ensure real-time visibility to crypto transaction activity and holdings for institutions that require highly scalable and secure reporting, compliance, and control solutions.",USA,2014,Corporate Round,2020,29300000,6000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Lumina,https://www.lumina.app/,3,Manage Risk,9,Data & Risk Analytics,"Lumina is a digital assets dealer and financial platform. Enables institutions to manage, bookkeep, and trade digital assets. Offers portfolio management to manage, visualize, and understand cryptocurrency portfolio. Users can prepare taxes for digital asset investments. Offers a portfolio management interface and maximize compliant liquidity for family offices, hedge funds, crypto funds, venture capital funds, and blockchain companies. Provides Lumina Trade Execution which represents the pool of compliant liquidity in global crypto markets.",USA,2018,Acquired,2020,4000000,4000000,0.33,1,0.665,Emerging,2. SECONDARY,N,,
Luminex Trading & Analytics,http://luminextrading.com/,3,Manage Risk,9,Data & Risk Analytics,Luminex Trading focuses on helping the IM community efficiently source block liquidity through transparent trading protocols.,USA,2015,Unfunded,-,-,-,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
Lykke,https://www.lykke.com/,2,Access Liquidity,5,Tokenization and Digital Assets,"Lykke is building a single global marketplace providing access to the blockchain technology to offer immediate settlement and direct ownership. Lykke shares are issued in the form of colored coins and their software is open-source. Financial instruments can be traded and settled peer to peer with second-by-second interest payments. Their commissions are zero and  revenue will come by providing liquidity, offering issuance services, and supporting institutional clients.",Switzerland,2015,Seed,2020,5090000,-,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
M1 Finance,m1finance.com,5,Engage Consumers,15,Banking & Personal Finance,M1 Finance is an investment platform that aims to offer an easy and effective way for users to earn interest on their money.,USA,2016,Series B,2020,58170000,33000000,0.33,0.33,0.33,Nascent,6. OTHER,N,,
MapFinTech,https://mapfintech.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"MAP Financial Technologies provide regulatory reporting service to clients. It covers international regulation such as MiFID II, EMIR, REMIT, Dodd-Frank, FATCA, and CRS. It helps firms in reducing their operational and regulatory risk. It sources and works with data, convert and displays it in the required format, and send the information to regulators and authorities.",Cyprus,2014,Unfunded,2014,-,-,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Marco Financial,https://www.marcofi.com/,4,Automate workflows,13,Document Streamlining,"Marco provides an online platform to fuel export companies for cross-border trades. It also enables businesses to invest in short term trade finance receivables. Users can upload documents, invoices, and more via the platform.",USA,2020,Series B,2020,26000000,26000000,0,0.33,0.165,Nascent,6. OTHER,N,,
MarketFinance,http://www.marketfinance.com,2,Access Liquidity,3,"Alt debt, loans & SME financing","Marketfinance is an online business loans platform. The company offers selective invoice discounting, confidential invoice discounting, contract finance and unsecured business loans. Investors can earn returns between 10-12% for business loans and 4-6% for invoice finance.",England,2011,Series B,2020,54887461,12698444,0.66,0.33,0.495,Nascent,6. OTHER,Y,,
Marqeta,https://www.marqeta.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Marqeta provides card issuing processing solutions to industries such as financial institutions, retailers, travelling, and more. It provides an open API platform that enables to issue & process cards and manage payments. It enables to issue physical, virtual, and tokenized payments. It also enables merchants to decide whether to authorize or deny a transaction.",USA,2010,Acquired,2020,528000000,150000000,0.99,1,0.995,Mature,4. CLIENT SERVICING & SUPPORT,N,,
MayStreet,maystreet.com,4,Automate workflows,12,IT & Data Cost Managament,"MayStreet develops technology for capital markets that include financial market, capital market technology, low latency, exchange connectivity, smart order routing, and transaction cost analysis. It is based in New York, New York.",USA,2012,Series A,2020,21680000,21000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
MDX Technology,https://www.mdxtechnology.com/,4,Automate workflows,12,IT & Data Cost Managament,"MDX provides a real-time market data collaboration solutions for the trading community, catering to traders, developers and market data professionals in the capital markets, energy and commodities sectors.",England,2010,Series A,2015,-,-,0.99,0.33,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Mercatus,https://www.gomercatus.com/,4,Automate workflows,12,IT & Data Cost Managament,Mercatus is a US based company focused on developing cloud-based asset management software solutions for energy industry. The company's Asset Investment Management (AIM) platform automates the full asset investment life cycle and assists the energy companies to manage risks associated with the assets.,USA,2009,Series C,2009,42400000,5100000,0.99,0.66,0.825,Mature,2. SECONDARY,N,,
Metaco,https://metaco.com,3,Manage Risk,10,Crypto-Custody & Encryption,"Established in 2014, Metaco has rapidly become an expert in helping banks and financial institutions, including national banks, capitalise on the latest blockchain technologies and systems. It has developed specialist, high-grade cryptographic solutions that can be fully integrated into a bank's core processes. The firm is also a leading provider of highly secure custody solutions for crypto assets. Its proprietary offering has continued to differentiate Metaco in the blockchain sector and position the firm at the forefront of the market.",Switzerland,2014,Series A,2020,17010000,17000000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
Midaxo,https://www.midaxo.com/,4,Automate workflows,13,Document Streamlining,"Midaxo offers a cloud-based platform to companies to manage their M&A processes. The solutions include deal sourcing, valuation, due diligence, and integration. It caters to buy-side clients and has won several awards from M&A industry publications such as Acquisition international, M&A Today, and ACQ5.",USA,2011,Series B,2018,23000000,16000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
MiFund,http://mifund.com.au,5,Engage Consumers,15,Banking & Personal Finance,"Mifund is an online lending platform for consumer loans. It provides its users with loan services. It offers treatment loans between $1,000 to $50000 for a term of 3 months to 36months.",USA,2015,Series B,2001,25000000,25000000,0.66,0.33,0.495,Nascent,6. OTHER,N,,
Mind Risk,https://www.mindbridge.ai/,3,Manage Risk,7,Fraud & Cybersecurity,"MindBridge provides real-time data analytics, pattern recognition, and anomaly detection solutions to help organizations of all sizes save time and money in investigating or auditing past activity, detecting active inadmissible behavior or preventing potential transgression. Company claims to use machine learning and data science-based technology to create its cloud-based product. It can be used for enterprise fraud detection which can either be internal as well as external fraud.",Canada,2015,Series B,2019,33900000,11400000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Minerva,https://www.minerva-labs.com/,3,Manage Risk,7,Fraud & Cybersecurity,"Minerva Labs is developing a low-footprint endpoint security and malware prevention platform using ""prevention without detection"" approach. Utilizes malware's evasive nature to neutralize a threat by preventing attacks and malware execution before they occur without the need for prior knowledge, signatures or other detection tools. Performs analysis of malware, exploits and vulnerabilities utilizing it's patent pending solution that focus on malware's nature itself and then provide response based on security events at clients. Joined Citi Technology Innovation Lab TLV. Winner of CYBOX Contest at CyberTech, 2016.",Israel,2014,Series A,2017,1500000,8000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Modern Treasury,https://www.moderntreasury.com/,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Modern Treasury offers API-linked payment gateway to banks. Offers instant notifications of real-time changes with webhooks, including ACH returns or failures. Offers bank integrations and payment reconciliation.",USA,2018,Series A,2019,11000000,10000000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Moneybox,moneyboxapp.com,5,Engage Consumers,15,Banking & Personal Finance,Moneybox provides an app that enables users to round up the digital spare change from everyday card transactions and invest that change into three tracker funds within a Stocks & Shares ISA.,England,2015,Series C,2020,75590000,9100000,0.66,0.66,0.66,Emerging,6. OTHER,Y,,
MoneyFarm,moneyfarm.com,5,Engage Consumers,15,Banking & Personal Finance,"MoneyFarm provides an online platform for investment planning & advisory services. It helps users in portfolio management based on their profiles and goals. It offers advisory services for investment in stocks & shares, pension management, and wealth management. It also features tools for tracking investments.
",England,2011,Series C,2019,122280000,44000000,0.66,0.66,0.66,Emerging,2. SECONDARY,Y,,
Moneytree,https://www.moneytreehq.com,5,Engage Consumers,15,Banking & Personal Finance,"Moneytree is a financial data aggregation platform that provides a personal finance app and a cloud-based accounting service.

",Japan,2012,Series C,2020,23633468,8806595,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Moonshot-Internet,http://www.moonshot-internet.com/,5,Engage Consumers,15,Banking & Personal Finance,"Founded in March 2017, Moonshot-Internet is an Insurtech that develops insurance BtoBtoC products and services on demand for e-commerce, payment and travel firms. It has already won 7 awards for its solution (Label Finance Innovation, Global Business Insights Award w&f Fintech Awards etc.) and was ranked in Fintech Global's list of the world's Top 100 most innovative Insurtechs. Moonshot-Internet's aims to conquer the European market by 2020.",France,2017,Series A,2017,6321565,6321565,0.33,0.33,0.33,Nascent,6. OTHER,Y,,
Mosaic Smart Data,http://mosaicsmartdata.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Mosaic Smart Data offers big data analytics solutions for financial industries. It allows users to integrate data from various sources, analyze and visualize data to capture actionable insights and trends. It provides insights and data solutions related to trading, compliance, income and sales.",England,2014,Series B,2019,9000000,9000000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
MPOWER Financing,http://www.mpowerfinancing.com/,5,Engage Consumers,15,Banking & Personal Finance,"MPOWER is a US-based lender offering student loans to international students studying in the US or Canada without requiring a co-signer, collateral, or US credit history because our proprietary credit algorithm focuses on future potential. Loans are 10-year, fixed-rate, and range between $2,001 and $50,000. MPOWER disburses payments directly to the university on behalf of the students to pay for tuition or university-sponsored services like housing, meal plans, or health insurance. Students start paying back the loan within 6 months after graduation. The loan comes with interest discounts, free personal finance education courses, credit-building, and a job placement service for the students.",USA,2014,Series B,2020,29500000,9000000,0.66,0.33,0.495,Nascent,6. OTHER,N,,
nanopay,http://www.nanopay.net,4,Automate workflows,14,"Cash, Payments & Banking As a Service","nanopay is a global payments technology company offering payment and liquidity management products for businesses and banks.  Our technology differentiates us. Our platform is built on hybrid blockchain technology that improves throughput, simplifies governance, and reduces cost. Our mission inspires us. Our long-term goal is to lead the worldâ€™s transition to digital cash.",Canada,2013,Series A,2016,10539753,10000000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,N,,
Neonomics,https://www.neonomics.io/,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Neonomics provides open banking APIs. Offers Direct Bank Payments that allow users to access multiple accounts from various bank account providers on one interface. Service providers can facilitate account-to-account payments initiated directly from the user’s accounts. Offers account data aggregation solution that aggregates multiple bank accounts via one endpoint. It provides access to identity data, balance, transaction history, and fund coverage.",Norway,2017,Seed,2017,2700000,2700000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Neptune Networks,https://neptunefi.com/,2,Access Liquidity,6,"FI, FX & Listed Equities","Neptune Networks offers bond market data from sell-side banks to buy-side clients. It offers real-time bond pre-trade data (axes and inventory) via FIX workflows. The participating banks include HSBC, ING, Jefferies, Nomura, Deutsche Bank, and others. The company claims to have individual bond data of more than 35000.",England,2016,Seed,2020,15000000,15000000,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
Neudata,https://www.neudata.co/,3,Manage Risk,9,Data & Risk Analytics,"Neudata consults and advises hedge funds and institutional investors on Alternative Data for Investment Management. It claims to provide hitherto unavailable data on traditional platforms. It covers asset classes like equities - US and Global, derivatives, and options.",England,2016,Seed,2019,1600000,1000000,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
Neurensic,https://neurensic.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Neurensic helps financial institutions reduce risk and ensure regulatory compliance. It provides CORE, an intent-based surveillance solution which leverages AI to detect rogue trading, suspect trading behavior, fraud, and anomaly in trading activities to ensure regulatory compliance. It recognizes patterns of trading that are similar to regulatory inquiries and investigations, thereby helping organizations in identifying the same.",USA,2015,Acquired,2017,9000000,1700000,0.66,1,0.83,Mature,2. SECONDARY,N,,
Neuroprofiler,https://www.neuroprofiler.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Neuroprofiler provides a test which allows financial advisers to assess the risk profile of their clients in accordance with the new European regulations. Test evaluates a customer’s risk profile along three dimensions: an appetite for gains, loss aversion, and optimism. Its deep learning algorithm asks clients to make series of choices and assigns new profile each time out of 1 million possibilities. It has partnered with KPMG, Credit Suisse, and BPCE. As of Nov 2016 application is currently used as a pilot at a subsidiary of BPCE. ",France,2016,Seed,2016,-,-,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
Next Markets,https://www.nextmarkets.com/en/home,2,Access Liquidity,6,"FI, FX & Listed Equities","Nextmarkets provides an online trading app that allows users to trade in CFDs. Allows users to follow traders from across the globe, read market analysis, practice trading, execute real trades at leverage of 50:1. Provides access to over 1000 instruments covering shares, indices, commodities, forex, and bonds.",Germany,2014,Series A,2018,13600000,7030000,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
Nirvana,https://www.nirvanasolutions.com/,3,Manage Risk,9,Data & Risk Analytics,"Nirvana Solutions is a financial software company that provides portfolio management solutions to hedge funds, prime brokers, and fund administrators. Nirvana is a portfolio management system built around the Financial Information Exchange protocol. It can accept FIX messages, combined with the aggregation of multi-prime data, ensures real-time views of measures such as P&L and Risk. Nirvana also includes a full suite of on-demand and historical reporting for transparency and risk management. ",USA,2006,Seed,2017,2020000,267000,0.99,0,0.495,Nascent,2. SECONDARY,N,,
Nivaura,https://www.nivaura.com/,4,Automate workflows,11,Trade Straight Through Processing,"Nivaura's process automation platform products enable execution and lifecycle management of decentralized smart financial assets. It uses the blockchain to automate everything from documentation to distribution, clearing settlement and servicing. It provides solutions such as transaction management, instrument management, user management, and document structuring.",England,2015,Series A,2019,20000000,20000000,0.66,0.33,0.495,Nascent,1. PRIMARY,Y,,
Nordigen,https://nordigen.com/en/,5,Engage Consumers,15,Banking & Personal Finance,"Nordigen provides transaction categorization by identifying context. The sanitized transaction data can then be used by banks for credit assessment and personal finance management (PFM) solutions. It provides an API where banks and other financial institutions can upload transaction database. Data is cleansed from unnecessary noise and relevant text is identified. Machine-learning algorithms match transactions with corresponding categories. Enrichment Categorized transactions are further enhanced with geolocation and merchant brand data. It is then customized for credit assessment, fraud analytics or other purposes. Company won Rietumu fintech challenge on 3rd May 2016 and received a cash prize of EUR 5,000.",Latvia,2015,Seed,2018,1000000,800000,0.66,0,0.33,Nascent,6. OTHER,Y,,
Northrow,https://www.northrow.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Northrow: Digitally transform your customer onboarding processes. You can benefit from improved client experience, increased efficiency and reduced compliance risk.",England,2010,Series A,2017,4010000,4010000,0.99,0.33,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
NowCP,https://nowcp.eu/,2,Access Liquidity,6,"FI, FX & Listed Equities",NowCP is the new digital marketplace for Commercial Paper in Europe.,France,2020,Unfunded,-,-,-,0,0.66,0.33,Nascent,2. SECONDARY,Y,,
Nth Round,https://www.nthround.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC","Nth Round provides liquidity solutions for private businesses. It features solutions for shareholders to liquidate their position. It offers multiple products such as Reward Shareholders for distribution of equity incentives, Transfer Ownership for liquidating fractional share, and Raise Capital for future liquidity & risk management.",USA,2018,Seed,2018,4300000,-,0.33,0,0.165,Nascent,2. SECONDARY,N,,
FIN Compliance,https://FINCompliance.io/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"FinCompliance.io is a consortium of compliance, consulting, and business management solutions designed to help boutique investment firms to structure, maintain, and develop their internal regulatory review programs.","Walnut Creek, California, United States",2012,Unfunded,-,-,-,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
